date,vrednost
2016-02-14,0.04069791666666667
2016-02-15,0.025739583333333333
2016-02-16,0.04789583333333333
2016-02-17,0.03904166666666667
2016-02-18,0.021614583333333336
2016-02-19,0.013697916666666666
2016-02-20,0.0080625
2016-02-21,0.03690625
2016-02-22,0.040375
2016-02-23,0.01996875
2016-02-24,0.04065625
2016-02-25,0.04376041666666666
2016-02-26,0.028072916666666666
2016-02-27,0.021958333333333333
2016-02-28,0.07891666666666666
2016-02-29,0.04125
2016-03-01,0.035666666666666666
2016-03-02,0.036958333333333336
2016-03-03,0.04146875
2016-03-04,0.02660416666666667
2016-03-05,0.0679375
2016-03-06,0.032072916666666666
2016-03-07,0.043083333333333335
2016-03-08,0.02884375
2016-03-09,0.011947916666666667
2016-03-10,0.021041666666666667
2016-03-11,0.01390625
