model,component,epoch,start_epoch_time,end_epoch_time,train_loss,val_loss
20250703155649_t1_linear_regression.pt,main,1,2025-07-03 15:56:49,2025-07-03 15:56:49,0.5602459193241258,0.6713002920150757
20250703155649_t1_linear_regression.pt,main,2,2025-07-03 15:56:49,2025-07-03 15:56:49,0.56016618182302,0.6712067723274231
20250703155649_t1_linear_regression.pt,main,3,2025-07-03 15:56:49,2025-07-03 15:56:49,0.560096541397002,0.6711099743843079
20250703155649_t1_linear_regression.pt,main,4,2025-07-03 15:56:49,2025-07-03 15:56:49,0.5600240329499186,0.6710079312324524
20250703155649_t1_linear_regression.pt,main,5,2025-07-03 15:56:49,2025-07-03 15:56:49,0.5599476193126879,0.6709011793136597
20250703155649_t1_lstm.pt,main,1,2025-07-03 15:56:49,2025-07-03 15:56:49,0.2847937508391948,0.2618374526500702
20250703155649_t1_lstm.pt,main,2,2025-07-03 15:56:49,2025-07-03 15:56:49,0.23370888038926763,0.24156704545021057
20250703155649_t1_lstm.pt,main,3,2025-07-03 15:56:49,2025-07-03 15:56:49,0.22875822827159634,0.2092580795288086
20250703155649_t1_lstm.pt,main,4,2025-07-03 15:56:49,2025-07-03 15:56:49,0.2445660272107916,0.266378253698349
20250703155649_t1_lstm.pt,main,5,2025-07-03 15:56:49,2025-07-03 15:56:49,0.2259471604095297,0.17730633914470673
20250703155649_t1_linear_regression.pt,main,1,2025-07-03 15:56:50,2025-07-03 15:56:50,0.3156250561309966,0.4851299822330475
20250703155649_t1_linear_regression.pt,main,2,2025-07-03 15:56:50,2025-07-03 15:56:50,0.315180896923242,0.48472970724105835
20250703155649_t1_linear_regression.pt,main,3,2025-07-03 15:56:50,2025-07-03 15:56:50,0.3148943164095973,0.4844236671924591
20250703155649_t1_linear_regression.pt,main,4,2025-07-03 15:56:50,2025-07-03 15:56:50,0.31466466879213095,0.48416170477867126
20250703155649_t1_linear_regression.pt,main,5,2025-07-03 15:56:50,2025-07-03 15:56:50,0.3144692040437105,0.4839288592338562
20250703155650_t1_lstm.pt,main,1,2025-07-03 15:56:50,2025-07-03 15:56:50,0.24205027747627916,0.3996637463569641
20250703155650_t1_lstm.pt,main,2,2025-07-03 15:56:50,2025-07-03 15:56:50,0.24353279351003912,0.39940345287323
20250703155650_t1_lstm.pt,main,3,2025-07-03 15:56:50,2025-07-03 15:56:50,0.24140966135934488,0.3991226553916931
20250703155650_t1_lstm.pt,main,4,2025-07-03 15:56:50,2025-07-03 15:56:50,0.24323306800119135,0.39884403347969055
20250703155650_t1_lstm.pt,main,5,2025-07-03 15:56:50,2025-07-03 15:56:50,0.2425183065679689,0.39853763580322266
20250703155650_t1_universal.pt,main,1,2025-07-03 15:56:52,2025-07-03 15:56:52,0.2258683079355476,0.1978446346408916
20250703155650_t1_universal.pt,main,2,2025-07-03 15:56:52,2025-07-03 15:56:52,0.22576986652589126,0.19789192663253274
20250703155650_t1_universal.pt,main,3,2025-07-03 15:56:52,2025-07-03 15:56:52,0.2255438058115591,0.1979285264659296
