model,model_component,epoch,type,inference,MAE,MSE,RMSE,MAPE,R2,MDA,Spearman
20250703155622_t1_lstm.pt,main,1,train,0.07995963096618652,1.143932580947876,1.9393000602722168,1.392587541331681,0.28856340050697327,-1.0341401100158691,0.5086872586872587,0.03027251765969824
20250703155622_t1_lstm.pt,main,1,val,0.0030002593994140625,0.8527263402938843,1.182836651802063,1.0875829401944768,0.24028266966342926,-0.5366216897964478,0.40625,0.6624558961837147
20250703155622_t1_lstm.pt,main,2,train,0.03152179718017578,1.1138499975204468,1.8553253412246704,1.3621032784721834,0.281254380941391,-0.9460586309432983,0.5115830115830116,0.08398427599306622
20250703155622_t1_lstm.pt,main,2,val,0.002008199691772461,0.8335161805152893,1.133679747581482,1.064743982176693,0.2365124672651291,-0.472761869430542,0.4125,0.6725907884511028
20250703155622_t1_lstm.pt,main,3,train,0.03221583366394043,1.0934571027755737,1.7907350063323975,1.338183472597236,0.27755430340766907,-0.8783094882965088,0.49613899613899615,0.02802245612924448
20250703155622_t1_lstm.pt,main,3,val,0.001998424530029297,0.8179510831832886,1.092777967453003,1.0453602094268764,0.23373346030712128,-0.4196265935897827,0.4125,0.6719926730896
20250703155622_t1_lstm.pt,main,4,train,0.03136491775512695,1.0702000856399536,1.7256094217300415,1.3136245360566472,0.2725086808204651,-0.8099989891052246,0.4768339768339768,0.08473224497352747
20250703155622_t1_lstm.pt,main,4,val,0.0030138492584228516,0.8039937615394592,1.0554478168487549,1.0273498999117852,0.23144370317459106,-0.37113094329833984,0.4125,0.6708999623330083
20250703155622_t1_lstm.pt,main,5,train,0.031246423721313477,1.0527539253234863,1.6699298620224,1.2922576608487952,0.2692733407020569,-0.7515964508056641,0.525096525096525,0.0850580580632501
20250703155622_t1_lstm.pt,main,5,val,0.003999948501586914,0.7913657426834106,1.020440936088562,1.010168766141857,0.2296210080385208,-0.3256535530090332,0.4125,0.6707202401690951
20250703155622_t1_lstm.pt,main,5,test,0.0060007572174072266,1.1539771556854248,2.1524300575256348,1.467116238586989,0.2683497667312622,-0.9072703123092651,0.4324853228962818,0.737658365361793
20250703155623_t1_linear_regression.pt,main,1,train,0.008497953414916992,0.2624608278274536,0.13000492751598358,0.360561960716856,1.9586548805236816,-1.4612205028533936,0.4833538840937115,-0.6445925326445743
20250703155623_t1_linear_regression.pt,main,1,val,0.0012574195861816406,0.6092433333396912,0.3871977627277374,0.6222521697252147,1.1345202922821045,-23.959577560424805,0.5327868852459017,0.09386598220754779
20250703155623_t1_linear_regression.pt,main,2,train,0.008001089096069336,0.2508992850780487,0.11634693294763565,0.3410966621760401,1.951005458831787,-1.202650785446167,0.48212083847102344,-0.6235354071108365
20250703155623_t1_linear_regression.pt,main,2,val,0.0010004043579101562,0.57462078332901,0.34534963965415955,0.5876645638918171,1.067633867263794,-21.261959075927734,0.5245901639344263,0.14090860723076712
20250703155623_t1_linear_regression.pt,main,3,train,0.008994340896606445,0.24030961096286774,0.10483218729496002,0.32377799075131714,1.9340993165969849,-0.9846564531326294,0.4784217016029593,-0.5928020460834394
